JobRoleID,JobRole
1,Sales Executive
2,Sales Representative
3,Account Manager
4,Sales Manager
5,Research Scientist
6,Laboratory Technician
7,R&D Engineer
8,Research Director
9,HR Specialist
10,HR Business Partner
11,Recruiter
12,HR Manager
13,Software Engineer
14,Data Analyst
15,IT Support Specialist
16,Systems Administrator
17,IT Manager
18,Financial Analyst
19,Accountant
20,Finance Manager
21,Controller
22,Marketing Specialist
23,Content Strategist
24,Marketing Manager
25,Brand Manager
26,Operations Analyst
27,Supply Chain Coordinator
28,Operations Manager
29,Logistics Specialist
30,Customer Support Representative
31,Support Team Lead
32,Customer Success Manager
33,Legal Counsel
34,Paralegal
35,Compliance Officer
